path,size_bytes,status
a10_rpt_phase1_selected/results_a10_rpt_phase1/control_uC.png,96975,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_a10_rpt_phase1/control_uD.png,101493,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_a10_rpt_phase1/control_uP.png,124473,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_a10_rpt_phase1/control_uPhi.png,134457,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_a10_rpt_phase1/cvar90_loss_by_controller.png,71803,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_a10_rpt_phase1/failure_rate_by_controller.png,69800,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_a10_rpt_phase1/scatter_finalI_vs_maxa.png,213245,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_a10_rpt_phase1/trajectory_a.png,101841,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_a10_rpt_phase1/trajectory_h.png,111610,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_a10_rpt_phase1/trajectory_I.png,115241,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_a10_rpt_phase1/trajectory_p.png,106041,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/control_uC.png,94726,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/control_uD.png,103681,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/control_uP.png,96451,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/control_uPhi.png,156929,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/cvar90_loss_by_controller.png,81658,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/cvar90_violation_by_controller.png,96003,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/failure_rate_by_controller.png,79547,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/scatter_finalI_vs_maxa.png,234103,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/trajectory_a.png,108031,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/trajectory_h.png,119704,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/trajectory_I.png,122247,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/trajectory_p.png,118575,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v02_full/unsafe_duration_by_controller.png,84412,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/control_uC.png,96515,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/control_uD.png,109252,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/control_uP.png,114707,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/control_uPhi.png,166465,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/cvar90_loss_by_controller.png,96577,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/cvar90_violation_by_controller.png,110284,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/failure_rate_by_controller.png,94519,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/scatter_finalI_vs_maxa.png,248358,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/trajectory_a.png,115323,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/trajectory_h.png,133038,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/trajectory_I.png,131466,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/trajectory_p.png,134330,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v03_full/unsafe_duration_by_controller.png,99472,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/control_uC.png,84031,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/control_uD.png,117051,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/control_uP.png,114015,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/control_uPhi.png,196647,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/cvar90_loss_by_controller.png,111497,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/cvar90_violation_by_controller.png,124997,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/failure_rate_by_controller.png,109477,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/scatter_finalI_vs_maxa.png,278119,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/trajectory_a.png,119454,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/trajectory_h.png,138498,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/trajectory_I.png,135847,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/trajectory_p.png,136331,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v04_full/unsafe_duration_by_controller.png,114170,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v05_full/stress_cvar90V_by_profile.png,134876,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v05_full/stress_failure_rate_by_profile.png,118602,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v05_full/stress_fail_h_rate_by_profile.png,121488,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v05_full/stress_fail_m_rate_by_profile.png,124642,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v05_full/stress_unsafe_duration_by_profile.png,126740,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v05_quick/stress_cvar90V_by_profile.png,127097,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v05_quick/stress_failure_rate_by_profile.png,118038,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v05_quick/stress_fail_h_rate_by_profile.png,121336,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v05_quick/stress_fail_m_rate_by_profile.png,124020,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v05_quick/stress_unsafe_duration_by_profile.png,126810,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v06_full/stress_cvar90V_by_profile.png,123976,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v06_full/stress_failure_rate_by_profile.png,109855,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v06_full/stress_fail_h_rate_by_profile.png,113672,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v06_full/stress_fail_m_rate_by_profile.png,117670,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v06_full/stress_unsafe_duration_by_profile.png,117467,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v07_full/stress_cvar90V_by_profile.png,126299,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v07_full/stress_failure_rate_by_profile.png,113650,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v07_full/stress_fail_h_rate_by_profile.png,116138,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v07_full/stress_fail_m_rate_by_profile.png,120324,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v07_full/stress_unsafe_duration_by_profile.png,119753,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v08_full/best_cvar90V_heatmap.png,137048,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v08_full/best_failure_rate_heatmap.png,143673,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v08_full/best_unsafe_duration_heatmap.png,150238,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v09_frontier/frontier_failure_rate_combined_harsh.png,97739,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v09_frontier/frontier_failure_rate_combined_moderate.png,90306,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v09_frontier/frontier_failure_rate_heat_150.png,120534,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v10_confirm_combined_harsh/frontier_failure_rate_combined_harsh.png,54453,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v10_confirm_combined_moderate/frontier_failure_rate_combined_moderate.png,54127,included under source_materials/selected_from_uploaded_rpt_project
a10_rpt_phase1_selected/results_v10_confirm_heat150/frontier_failure_rate_heat_150.png,70715,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/ansatz_optimization_result.png,94134,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/diagnostic_analysis.png,69459,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/dynamic_cost_comparison.png,40278,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/edge_of_chaos_comparison.png,27758,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/freq_drift_comparison.png,60362,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/ood_survival_test.png,36418,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/optimization_result.png,83458,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/pmp_eigen_proof.png,102711,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/resource_limit_comparison.png,43730,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/robust_optimization_result.png,99704,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/saturation_optimization_result.png,82331,included under source_materials/selected_from_uploaded_rpt_project
A10_PTF_Rocket_selected/output/spectral_sensitivity.png,69044,included under source_materials/selected_from_uploaded_rpt_project
