controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,mean_C_U,mean_C_R,failure_rate,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,mean_unsafe_duration,mean_final_I,worst_max_a,worst_max_h,worst_max_p,worst_min_m
a10_thermal_v04,2.290251709146911,3.222077753722308,3.388158649203706,0.0,0.0,0.6978043722659348,43.01381669387448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1741291139249015,0.3704397841395494,0.9663761354308853,0.842859617129258,0.26002735285153594
a10_thermal_refined_v04,2.306714292874325,3.236510361193725,3.3999267825611454,0.0,0.0,0.7037423966287492,43.319316270971505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1741954295591441,0.3680683263411041,0.9647328769019178,0.842859617129258,0.25958364443712667
a10_barrier_refined_v03,2.1146564682871505,3.0502567162558294,3.2594000544582364,4.686444067490433e-06,4.6823403844024826e-05,0.6344877371670905,39.74580552893966,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.02477083333333332,1.1971982959624488,0.3861744663520419,1.034329270583932,0.853267340781094,0.38234817839816226
a10_barrier_v03,2.055438377294649,2.988683781042752,3.176839571172771,4.8346110527385154e-06,4.828740495669127e-05,0.6329343394351984,38.567360966046714,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.02493749999999999,1.1971754083908137,0.38963887416043497,1.034861079364552,0.853267340781094,0.3823416475803125
a10_v01_refined,2.9076426852545865,4.150393008573289,4.402195848102161,7.275244221199705e-05,0.0005352239156642715,0.6159159328574499,55.54368508923794,0.36666666666666664,0.0,0.0,0.058333333333333334,0.0,0.31666666666666665,0.0,0.030763888888888855,1.2019343454297986,0.3877473582039928,1.0154329091902417,0.8686945531584312,0.0048553615063419014
a10_v01,2.8715425534574535,4.116127994062251,4.345272942626823,7.283478735712106e-05,0.00053509559840761,0.6105428081901436,54.84301026167426,0.36666666666666664,0.0,0.0,0.058333333333333334,0.0,0.31666666666666665,0.0,0.031527777777777745,1.2018072980541636,0.3947600111706945,1.0167940353069247,0.8686945531584312,0.004828802560414345
lqr_like,2.4379231181108745,3.62683114063832,3.892989600937448,4.0369838965563185e-05,0.0002848585929976716,0.6477580737023706,46.08669038947688,0.39166666666666666,0.0,0.0,0.20833333333333334,0.0,0.26666666666666666,0.0,0.07295138888888886,1.2149994815323908,0.41249524928251835,1.0531440285843165,0.9051196003786114,0.03041975015724352
a10_refined_v02,2.6610720231607075,3.822029688771657,4.024501482902488,0.00014371447053922588,0.0010142956122909383,0.6012024925920648,50.529201551767436,0.4083333333333333,0.0,0.0,0.05,0.0,0.35833333333333334,0.0,0.034472222222222175,1.1965168799777257,0.3999907000561196,1.0119171529042468,0.8701703323017832,-0.026894931608673296
a10_rpt_v02,2.588084522079792,3.7505678063353485,3.89960601707652,0.00014370827366926906,0.0010139528924966706,0.5987244840682259,49.0793759579844,0.4083333333333333,0.0,0.0,0.05,0.0,0.35833333333333334,0.0,0.03473611111111107,1.1964644298217668,0.4051938315634867,1.0130550281437192,0.8701703323017832,-0.026939166857196294
power_only,0.487963663018436,0.7655709151267048,0.8181120459059171,0.00034476798061158927,0.0016866416011668117,0.46616890376590925,7.205061684081903,0.6083333333333333,0.0,0.0,0.18333333333333332,0.0,0.48333333333333334,0.0,0.07390972222222217,1.1740675490355732,0.5286141719607107,1.0782473593803297,0.852008820833725,-0.04142321622994201
pid_damping,1.4546335522290288,2.398249490911916,3.1542773350258084,0.002532375289058671,0.011834869746537137,0.613279091819562,21.57480409918498,0.6833333333333333,0.0,0.0,0.6833333333333333,0.0,0.0,0.0,0.29290277777777773,1.2636605341519422,0.43308624609805785,1.2330261466239554,0.8906756003335483,0.9402152709502479
cooling_only,0.6623417459865039,1.500893562764168,1.8860148036900601,0.002174819924506972,0.010571395174872295,0.7111231463368022,6.052702485368925,0.725,0.0,0.0,0.7416666666666667,0.0,0.0,0.0,0.28254861111111107,1.261918956959576,0.537934110692596,1.2410799959540781,0.8909040050043161,0.9402152709502479
no_control,0.47399894155237976,1.7000339721058797,2.190810529535248,0.003578189415523798,0.015838539721058798,0.5808999999999999,3.1201026523301484e-28,0.85,0.0,0.0,0.85,0.0,0.0,0.0,0.32406944444444435,1.2611239786660056,0.5718927684567042,1.3022125065230212,0.8910202676430368,0.9402152709502479
