profile,architecture,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,min_final_I,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m
combined_harsh,baseline,a10_minimax_v07,8.856020635627116,16.362727165974874,19.698416176001523,0.05178198938866759,0.12011375814726832,0.9916666666666667,0.43762499999999993,0.9447372824502549,0.9138349941424526,0.0,0.0,0.225,0.0,0.9333333333333333,0.9583333333333334,0.35306211439269575,1.0899292071956603,0.7929385520601472,-0.7654434332327784
combined_harsh,cooling_supply_x125,a10_minimax_v07,4.319484082556944,6.839649990143606,7.9931135602117696,0.0077616454554854915,0.0254292710211089,0.95,0.311298611111111,0.9725395188140733,0.9375801138386707,0.0,0.0,0.325,0.0,0.7583333333333333,0.8,0.35676332095163127,1.0981268705878018,0.7931055058861628,-0.37203926262099896
combined_harsh,cooling_supply_x125_impulse_x105,a10_minimax_v07,4.3657776251705895,6.993894578703681,7.8709578238386655,0.009040836022429992,0.028575597045513743,0.9333333333333333,0.2967916666666666,1.0154912005271866,0.9793910596115278,0.0,0.0,0.325,0.0,0.8083333333333333,0.31666666666666665,0.3565239243814941,1.0822683048381467,0.7930112511298115,-0.3801317895429603
combined_harsh,cooling_supply_x150,a10_minimax_v07,3.5320928542945684,4.518390032997919,4.6652404290874365,0.0007379128694806948,0.00290578554780777,0.8166666666666667,0.19368749999999993,0.9959603343733874,0.9592441494283092,0.0,0.0,0.325,0.0,0.475,0.6,0.3615898719154842,1.0996321891440122,0.79326006716416,-0.06667831630882329
combined_harsh,cooling_x125,a10_minimax_v07,9.18440003043538,16.745378053873953,20.311039738655566,0.05442921584467239,0.12263927111507221,0.9916666666666667,0.4311249999999999,0.9453599095383819,0.9147279259088964,0.0,0.0,0.18333333333333332,0.0,0.9416666666666667,0.9583333333333334,0.35929180627426804,1.078331207300494,0.7931019178232682,-0.7804538878499911
combined_harsh,cooling_x150,a10_minimax_v07,9.490767874590233,17.270523902091124,20.702394119480804,0.057056483884049464,0.12719742274323362,1.0,0.4239305555555555,0.9459988742566577,0.9154300633088892,0.0,0.0,0.125,0.0,0.975,0.975,0.365752702190319,1.0674444526923292,0.7932553377634614,-0.78943393382929
combined_harsh,impulse_margin_x105,a10_minimax_v07,9.633853033533335,17.730320257640297,20.493910222309555,0.061812438193927836,0.13650941322806653,0.9833333333333333,0.43249999999999994,0.9870851214448636,0.9561409090519739,0.0,0.0,0.225,0.0,0.9666666666666667,0.8166666666666667,0.35289059480028134,1.0765115074129965,0.7928431137753522,-0.7988643150454318
combined_harsh,supply_x125,a10_minimax_v07,4.218073531461356,6.59536783384191,7.658525497553562,0.007291018291845184,0.023832481477525397,0.9416666666666667,0.33097222222222217,0.9717992230294509,0.936913345676,0.0,0.0,0.38333333333333336,0.0,0.7583333333333333,0.8416666666666667,0.35211217253295285,1.1086268401892008,0.7929422227518895,-0.35473539776707075
combined_harsh,supply_x150,a10_minimax_v07,3.4637161966951444,4.282913282719946,4.479519048450615,0.0008833426026858671,0.003820663172201457,0.825,0.24721527777777777,0.9955870022910208,0.9588567700704055,0.0,0.0,0.4,0.0,0.4166666666666667,0.575,0.3533975610456113,1.1185331430610987,0.7929434807699705,-0.05928872296029302
combined_moderate,baseline,a10_supply_priority_v06,3.4323541609997177,4.542388049499077,5.226607399277894,0.0011883983824192731,0.006491615657114619,0.7166666666666667,0.2614930555555555,1.0940330915541652,1.0434490619959533,0.0,0.0,0.375,0.0,0.5833333333333334,0.0,0.380597245835828,1.102519185345365,0.8286639216911076,-0.12755827321887242
combined_moderate,cooling_supply_x125,a10_supply_priority_v06,3.536357429049972,4.3310284215512596,4.552558819930263,0.0003573078827260968,0.0025286299095795325,0.4166666666666667,0.1948611111111111,1.1215323025150554,1.0738121168940264,0.0,0.0,0.375,0.0,0.11666666666666667,0.0,0.3876983459756798,1.1073977997151112,0.8287464748989272,0.05814008350118638
combined_moderate,cooling_supply_x125_impulse_x105,a10_supply_priority_v06,3.5351148432360153,4.328965415470869,4.549456136351987,0.00033008171058169784,0.0023659315696764856,0.4166666666666667,0.19215972222222222,1.1763421888212549,1.1267065709614008,0.0,0.0,0.375,0.0,0.11666666666666667,0.0,0.38770680084817694,1.1037626914210998,0.828686206081813,0.05741125595649582
combined_moderate,cooling_supply_x150,a10_minimax_v07,3.238020718604642,4.068361143390866,4.164537476869893,0.0,0.0,0.0,0.0,1.03419102454422,1.0026667446089106,0.0,0.0,0.0,0.0,0.0,0.0,0.35334139462537323,0.9681640708519114,0.7944636653647025,0.15471855559834488
combined_moderate,cooling_x125,a10_supply_priority_v06,3.4828908567224763,4.5472316771554615,5.211030037086641,0.000899755862998105,0.005508852810040855,0.7,0.22795833333333332,1.0954003592879633,1.0451259200853045,0.0,0.0,0.36666666666666664,0.0,0.575,0.0,0.38477734948471476,1.0877743688308836,0.8287449668384131,-0.11216657435773118
combined_moderate,cooling_x150,a10_supply_priority_v06,3.4989898066624714,4.5251944717272305,5.207326531148589,0.0006427595234177792,0.004555434624115428,0.625,0.18666666666666665,1.096772593785777,1.0469051870321915,0.0,0.0,0.2916666666666667,0.0,0.5416666666666666,0.0,0.38901623113483347,1.0732269900415043,0.8288205131111953,-0.09850831489939013
combined_moderate,impulse_margin_x105,a10_supply_priority_v06,3.4336253795764824,4.556151784267517,5.233951066066878,0.0011993404047785834,0.006590749603984221,0.7,0.2593263888888888,1.1474911836050907,1.0949759408782873,0.0,0.0,0.375,0.0,0.5916666666666667,0.0,0.38012717356056014,1.0998848295273842,0.8286025714814984,-0.12937326597450455
combined_moderate,supply_x125,a10_supply_priority_v06,3.476842484371997,4.266295251457475,4.469289608727429,0.000577507283538708,0.0036917918431903763,0.45,0.22202777777777777,1.1200803958461474,1.0722893858346583,0.0,0.0,0.4083333333333333,0.0,0.125,0.0,0.38356755053418573,1.1221478238291775,0.8286654389896233,0.05839259912287435
combined_moderate,supply_x150,a10_minimax_v07,3.0680318581353676,3.8522435243536006,3.964368699491586,0.0,0.0,0.0,0.0,1.0325682602913366,1.0025705382628183,0.0,0.0,0.0,0.0,0.0,0.0,0.3431043029914166,0.9966223789784561,0.7942973796239946,0.15583731290735478
heat_125,baseline,a10_minimax_v07,2.376868414229489,3.1603647778766786,3.268200794137229,3.2135505186996686e-06,3.2087035535547235e-05,0.11666666666666667,0.004999999999999986,1.0333523295920422,0.9975642526322965,0.0,0.0,0.0,0.0,0.13333333333333333,0.016666666666666666,0.2683942106224042,0.9590946900085652,0.794290431922249,0.091492783825697
heat_125,cooling_supply_x125,a10_minimax_v07,2.443872772633522,3.304198675779116,3.4569551883575684,0.0,0.0,0.0,0.0,1.052889535020342,1.031460504161484,0.0,0.0,0.0,0.0,0.0,0.0,0.27498105687270946,0.9453754773204265,0.794374622371252,0.290518828595592
heat_125,cooling_supply_x125_impulse_x105,a10_minimax_v07,2.4438067949158704,3.304441480576687,3.4566831469931385,0.0,0.0,0.0,0.0,1.105538644264657,1.0835797498370798,0.0,0.0,0.0,0.0,0.0,0.0,0.27498407539036474,0.945368356167042,0.7943001348059402,0.2902819486424439
heat_125,cooling_supply_x150,a10_minimax_v07,2.486963985358872,3.3780765188347495,3.485627604459553,0.0,0.0,0.0,0.0,1.062238625215437,1.0368134125840225,0.0,0.0,0.0,0.0,0.0,0.0,0.278489130057832,0.9319229346298499,0.7944671714991974,0.4349197351234084
heat_125,cooling_x125,a10_minimax_v07,2.4581456894179894,3.266452259114582,3.3735199722576583,3.6523377494350524e-06,3.649232625397429e-05,0.13333333333333333,0.005208333333333319,1.0336503510832968,1.000045209480684,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.2722974892821621,0.9449561476641268,0.7943744599661582,0.09030137271237121
heat_125,cooling_x150,a10_minimax_v07,2.517470131429844,3.3276701841374323,3.4706209766644633,3.3847188342856588e-06,3.377259247739969e-05,0.13333333333333333,0.005145833333333321,1.0343488851170266,0.9981664435511947,0.0,0.0,0.0,0.0,0.125,0.008333333333333333,0.27587000458714334,0.9308030954835542,0.7944669196369109,0.0906041331447785
heat_125,impulse_margin_x105,a10_minimax_v07,2.378603115668037,3.1658717841614803,3.2823502890540985,5.381803454731841e-06,5.345748804332116e-05,0.13333333333333333,0.006076388888888875,1.0847241769652716,1.0467933502502988,0.0,0.0,0.0,0.0,0.14166666666666666,0.0,0.2684063316651065,0.95901766776316,0.7942145123871452,0.07644075270431731
heat_125,supply_x125,a10_minimax_v07,2.3610002625420132,3.1814053440694146,3.3544730889132857,0.0,0.0,0.0,0.0,1.0506472890733947,1.0305199789307145,0.0,0.0,0.0,0.0,0.0,0.0,0.27121780602146583,0.9593033740126183,0.7942905948932208,0.29404551495113623
heat_125,supply_x150,a10_minimax_v07,2.3423966182120153,3.1493718118298992,3.304234003024032,0.0,0.0,0.0,0.0,1.0565635387154646,1.0340947126442082,0.0,0.0,0.0,0.0,0.0,0.0,0.2713031109912692,0.9593418511799475,0.794290675328395,0.44556432471590945
heat_150,baseline,a10_minimax_v07,2.2651479710338958,2.938400168472578,3.1114444638900065,0.00040198289258995513,0.0025204560779854683,0.38333333333333336,0.1956875,1.030930197450129,0.9934632358417492,0.0,0.0,0.36666666666666664,0.0,0.025,0.008333333333333333,0.24613438439439322,1.0953532932546608,0.793144348709898,0.14234693129589748
heat_150,cooling_supply_x125,a10_minimax_v07,2.2541885382730715,2.9367949987534865,3.1489664349204203,0.00021202575917606624,0.0015004418140265588,0.325,0.15746527777777775,1.0381214179210287,1.02352374364132,0.0,0.0,0.325,0.0,0.0,0.0,0.2489160939122371,1.0862210539766421,0.7932710717566084,0.35218124041572846
heat_150,cooling_supply_x125_impulse_x105,a10_minimax_v07,2.2673726724098837,2.950820198333952,3.1450675125865253,0.00016747338717245958,0.0012015303011894602,0.31666666666666665,0.1550972222222222,1.0893418921126106,1.070890645022231,0.0,0.0,0.31666666666666665,0.0,0.0,0.0,0.24891783849430646,1.073052007506465,0.7931778537119891,0.3528409295592466
heat_150,cooling_supply_x150,a10_minimax_v07,2.25903080237462,2.9740544023021873,3.1765247000699404,9.407016783744742e-05,0.000754129369709049,0.25,0.1100208333333333,1.0412977940949801,1.024680540866882,0.0,0.0,0.25833333333333336,0.0,0.0,0.0,0.25179490103492025,1.0734006748250267,0.7933900985612926,0.48651904660553263
heat_150,cooling_x125,a10_minimax_v07,2.2789806229994327,3.012051171788556,3.240214714531617,0.00021118725181713225,0.0014949460508749863,0.35833333333333334,0.15834027777777773,1.0305409016085167,0.9925813955042058,0.0,0.0,0.325,0.0,0.03333333333333333,0.016666666666666666,0.24834559284221036,1.084310715437887,0.7932709024263273,0.11296221107371064
heat_150,cooling_x150,a10_minimax_v07,2.2994424587907685,3.094877113563765,3.3296882882787298,9.418854952084971e-05,0.0007508674036187894,0.3,0.11110416666666664,1.0298482593785903,0.9940468148713,0.0,0.0,0.25833333333333336,0.0,0.05,0.025,0.25014039752163797,1.0726518835206906,0.7933898473297785,0.11086081161201647
heat_150,impulse_margin_x105,a10_minimax_v07,2.2785132251963724,2.9499808388563697,3.119298076914874,0.0002998546102769207,0.0019415690144314853,0.38333333333333336,0.19250694444444444,1.0806947845863184,1.0419090273012148,0.0,0.0,0.35833333333333334,0.0,0.03333333333333333,0.0,0.2461353537899649,1.0810526163535872,0.7930489930217042,0.13738060413739742
heat_150,supply_x125,a10_minimax_v07,2.247341134282688,2.905132236363066,3.085446092290527,0.0004061006240136206,0.002540014257829667,0.35833333333333334,0.19554166666666664,1.036928196330902,1.0221716212636114,0.0,0.0,0.36666666666666664,0.0,0.0,0.0,0.2472279108413301,1.0985521365399307,0.7931445189606565,0.3672186879580438
heat_150,supply_x150,a10_minimax_v07,2.2408477424053816,2.8781851334109967,3.0128097138222585,0.00040659583960761086,0.0025425092281224585,0.35833333333333334,0.1955555555555555,1.0378117781981882,1.0222487414275725,0.0,0.0,0.36666666666666664,0.0,0.0,0.0,0.24726151485399384,1.0990423194118153,0.7931446024040251,0.5396878594023556
noise_disturbance,baseline,a10_adaptive_v06,3.6592619289655572,4.422761265416429,4.568520741892148,2.3340366141074187e-06,2.3050362096168904e-05,0.14166666666666666,0.006604166666666651,1.1489341554301225,1.110817292799709,0.0,0.0,0.0,0.0,0.14166666666666666,0.0,0.3592688254362709,0.9447962150854499,0.8299125740429871,0.09649321226653623
noise_disturbance,cooling_supply_x125,a10_supply_priority_v06,3.808127401642159,4.681488834984101,4.848302822935873,0.0,0.0,0.0,0.0,1.1577472643790163,1.1275920245176743,0.0,0.0,0.0,0.0,0.0,0.0,0.3600357447821205,0.9386089486496512,0.8299326348781815,0.2525484998326235
noise_disturbance,cooling_supply_x125_impulse_x105,a10_supply_priority_v06,3.8088724000979437,4.677952287672233,4.84492355479268,0.0,0.0,0.0,0.0,1.2148763449951308,1.183172484222378,0.0,0.0,0.0,0.0,0.0,0.0,0.36006073557350377,0.9365732224945852,0.8298485737148553,0.25262699580843473
noise_disturbance,cooling_supply_x150,a10_supply_priority_v06,3.868706048718008,4.815303530312781,5.03309481104395,0.0,0.0,0.0,0.0,1.1625137635398601,1.144355387122553,0.0,0.0,0.0,0.0,0.0,0.0,0.36093415274820617,0.9346553182200507,0.8299574753863357,0.43788321424588417
noise_disturbance,cooling_x125,a10_adaptive_v06,3.735569492927499,4.514362645773683,4.664772573197763,1.9033350173751642e-06,1.8763722092499333e-05,0.13333333333333333,0.006493055555555542,1.150474595899429,1.1117104012364527,0.0,0.0,0.0,0.0,0.15,0.0,0.36025164336206095,0.934542079482252,0.8299379155950395,0.10570114490486791
noise_disturbance,cooling_x150,a10_adaptive_v06,3.767893060329227,4.559794390244353,4.7075752288063955,1.7778086666772713e-06,1.7654184991846603e-05,0.13333333333333333,0.006194444444444432,1.1519766707701706,1.1127131960373704,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.3611075221441358,0.9248613033976026,0.8299614063545221,0.108753417104415
noise_disturbance,impulse_margin_x105,a10_adaptive_v06,3.658483000866535,4.4183631260091785,4.568436079098636,2.4709362294987673e-06,2.441334431546001e-05,0.15,0.006958333333333318,1.205580582684566,1.165715588854493,0.0,0.0,0.0,0.0,0.15,0.0,0.3592963160723996,0.943095566846007,0.8298281463823148,0.09466538005977457
noise_disturbance,supply_x125,a10_supply_priority_v06,3.7349204388316477,4.595139176311353,4.760553433185769,0.0,0.0,0.0,0.0,1.1563984639289837,1.1260487092996636,0.0,0.0,0.0,0.0,0.0,0.0,0.3590150263497614,0.948999853450924,0.8299072883306903,0.2527529009443594
noise_disturbance,supply_x150,a10_supply_priority_v06,3.767883651845612,4.697883963763745,4.920707009966014,0.0,0.0,0.0,0.0,1.1602140781668382,1.141677125319247,0.0,0.0,0.0,0.0,0.0,0.0,0.35902281219762244,0.9524559722234264,0.8299086390118467,0.43820950030634115
supply_stress,baseline,a10_supply_priority_v06,2.3529121152196515,3.064197284889151,3.2459679624245004,7.13162129654729e-08,7.13162129654729e-08,0.03333333333333333,0.0013333333333333303,1.133738360751676,1.0719092561607728,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.3373113631168922,0.9383280003443418,0.8294881483979526,0.14036849005096913
supply_stress,cooling_supply_x125,a10_supply_priority_v06,2.4746740086380368,3.274247180680259,3.4683927364745326,0.0,0.0,0.0,0.0,1.1538626354223454,1.1036951316993342,0.0,0.0,0.0,0.0,0.0,0.0,0.3384355533674597,0.9358014571589026,0.8295102741858676,0.15530990528943053
supply_stress,cooling_supply_x125_impulse_x105,a10_supply_priority_v06,2.474764959985337,3.274507682780318,3.4652300968321055,0.0,0.0,0.0,0.0,1.2104729638852874,1.1574818785070957,0.0,0.0,0.0,0.0,0.0,0.0,0.338470548004556,0.9333880081273406,0.8294516921050382,0.15559700036373295
supply_stress,cooling_supply_x150,a10_supply_priority_v06,2.5084006706559765,3.375165802985555,3.6352777206652807,0.0,0.0,0.0,0.0,1.1621777614587647,1.1310806034877277,0.0,0.0,0.0,0.0,0.0,0.0,0.34016066915922966,0.9286186973903668,0.8295302592587661,0.23029172449389698
supply_stress,cooling_x125,a10_supply_priority_v06,2.4128113859119718,3.133999477532301,3.3233050107100124,7.32528744553989e-08,7.32528744553989e-08,0.03333333333333333,0.0014861111111111084,1.1357611366913243,1.0731586672125277,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.3384286215392059,0.9278404520078538,0.829509299004896,0.1399063169148444
supply_stress,cooling_x150,a10_adaptive_v06,2.4411874724134788,3.1838774279804247,3.3555533860582965,5.0794027432279615e-08,5.0794027432279615e-08,0.03333333333333333,0.001937499999999996,1.148770783145017,1.097236793095913,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.339698831532502,0.9230203691922885,0.8295321345888184,0.1410098194652048
supply_stress,impulse_margin_x105,a10_supply_priority_v06,2.350855784769179,3.058907797266485,3.2439341866134828,6.761097046628687e-08,6.761097046628687e-08,0.041666666666666664,0.002305555555555551,1.1890210150486245,1.1246948347327979,0.0,0.0,0.0,0.0,0.058333333333333334,0.0,0.33734782711391653,0.9364436926067894,0.8294292842920911,0.1410199709439585
supply_stress,supply_x125,a10_supply_priority_v06,2.413734014032801,3.1999295499735765,3.385824101800398,0.0,0.0,0.0,0.0,1.1522659705383116,1.1025727126812601,0.0,0.0,0.0,0.0,0.0,0.0,0.3373205844285386,0.9464108058803458,0.8294891244080813,0.15436302595540283
supply_stress,supply_x150,a10_supply_priority_v06,2.4266724084172435,3.2761001712516253,3.5219135150286047,0.0,0.0,0.0,0.0,1.159667755559927,1.1284964984961747,0.0,0.0,0.0,0.0,0.0,0.0,0.3373225760967046,0.9484943182446076,0.8294895952874045,0.2371278846743578
